year	title	tag0	tag1	tag2	tag3	tag4	tag5	tag6	tag7	tag8	tag9	tag10	tag11	tag12	tag13	tag14	tag15	tag16	tag17	tag18	tag19	tag20	tag21	tag22
2022	Reshaping Robot Trajectories Using Natural Language Commands: A Study of Multi-Modal Data Alignment Using Transformers	CITY:Munich	DATA:Unstructured	DOMAIN:Robotic	ENV:Robotics	International Conference on Intelligent Robots and	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:IEEE/RJS															
2018	Reinforcement Learning on Web Interfaces Using Workflow-Guided Exploration	CITY:Stanford	DATA:Symbolic	DOMAIN:Web	ENV:Web	LANGUAGE:EN	TASK:Grounded Task Execution	TASK:Instruction Parsing	VENUE:ICLR															
2009	Reinforcement learning for mapping instructions to actions	CITY:Cambridge Massachusetts	DATA:Symbolic	DOMAIN:Gaming	ENV:Game	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ACL																
2018	RecipeQA: A Challenge Dataset for Multimodal Comprehension of Cooking Recipes	CITY:Ankara	DATA:Unstructured	DOMAIN:Cooking	LANGUAGE:EN	TASK:Question Answering 	VENUE:EMNLP																	
2020	Recipe Instruction Semantics Corpus (RISeC): Resolving Semantic Structure and Zero Anaphora in Recipes	CITY:Ghent	DATA:Entity-Centric	DATA:Task-Centric	DOMAIN:Cooking	LANGUAGE:EN	TASK:Detecting and Correcting Implicit Statements	VENUE:AACL																
2020	Reasoning about Goals, Steps, and Temporal Ordering with WikiHow	CITY:Philadelphia	DATA:Unstructured	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Question Answering 	VENUE:EMNLP																	
2021	proScript: Partially Ordered Scripts Generation via Pre-trained Language Models	CITY:Seattle	DATA:Task-Centric	DOMAIN:Everyday Activities	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Procedural Generation	VENUE:EMNLP																
2024	Process Modeling With Large Language Models	CITY:Sankt Augustin	DATA:Symbolic	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:BPMDS/EMMSAD																		
2023	Procedural Text Mining with Large Language Models	CITY:Brescia	DATA:Symbolic	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:International Conference on Knowledge Captur																	
2024	Procedural Level Generation in Educational Games from Natural Language Instruction	CITY:Raleigh	DATA:Unstructured	DOMAIN:Gaming	ENV:Game	LANGUAGE:EN	TASK:Grounded Task Execution	TASK:Instruction Parsing	VENUE:IEEE games															
2024	PROC2PDDL: Open-Domain Planning Representations from Texts	CITY:Pennsylvania	DATA:Entity-Centric	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:NLRSE																		
2015	Predicting the Structure of Cooking Recipes	CITY:Abu Dhabi	DATA:Task-Centric	DOMAIN:Cooking	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:EMNLP																	
2020	Planning Domain Generation from Natural Language Step-by-Step Instructions	CITY:Porto Alegre	DATA:Symbolic	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Knowledge Acquisition	VENUE:AAAI																	
2024	PARADISE: Evaluating Implicit Planning Skills of Language Models with Procedural Warnings and Tips Dataset	CITY:Baltimore	DATA:Unstructured	LANGUAGE:EN	TASK:Question Answering 	VENUE:NEURIPS																		
2024	Order-Based Pre-training Strategies for Procedural Text Understanding	CITY:Kharagpur	DATA:Unstructured	LANGUAGE:EN	TASK:Entity Tracking	VENUE:NAACL																		
2024	OPEx: A Component-Wise Analysis of LLM-Centric Agents in Embodied Instruction Following	CITY:Montreal	DATA:Symbolic	DOMAIN:Navigation	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ACL																
2023	OpenPI2.0: An Improved Dataset for Entity Tracking in Texts	CITY:Philadelphia	DATA:Entity-Centric	LANGUAGE:EN	TASK:Entity Tracking	VENUE:EACL																		
2023	OpenPI-C: A Better Benchmark and Stronger Baseline for Open-Vocabulary State Tracking	CITY:Champaign	DATA:Entity-Centric	LANGUAGE:EN	TASK:Entity Tracking	VENUE:ACL																		
2024	On the Multi-turn Instruction Following for Conversational Web Agents	CITY:Singapore	DATA:Symbolic	DOMAIN:Web	ENV:Web	TASK:Grounded Task Execution	TASK:Grounded Task-Oriented Dialogue	VENUE:ACL																
2020	NLtoPDDL: One-Shot Learning of PDDL Models from Natural Language Process Manuals	CITY:Delft	DATA:Symbolic	Do	DOMAIN:Cooking	DOMAIN:Technical Manual	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Knowledge Acquisition	TASK:Instruction Parsing	VENUE:ICAPS													
2018	Natural language instructions for human–robot collaborative manipulation	CITY:Pittsburgh	DATA:Unstructured	DOMAIN:Robotic	ENV:Robotics	EXTRA:Offline Instruction Data	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:The International Journal of Robotics Resear															
2016	Natural Language Communication with Robots	CITY:Istanbul	CITY:Los Angeles	DATA:Symbolic	DOMAIN:Robotic	ENV:Navigation	TASK:Grounded Task Execution	VENUE:NAACL																
2020	MyFixit: An Annotated Dataset, Annotation Tool, and Baseline Methods for Information Extraction from Repair Manuals	CITY:Bochum	DATA:Entity-Centric	DATA:Task-Centric	DATA:Unstructured	DOMAIN:Technical Manual	TASK:Instruction Parsing	VENUE:ICLR																
2023	Multimodal Procedural Planning via Dual Text-Image Prompting	CITY:Santa Barbara	DATA:Unstructured	LANGUAGE:EN	TASK:Procedural Generation	VENUE:Arxiv																		
2021	MultiDoc2Dial: Modeling Dialogues Grounded in Multiple Documents	CITY:Yorktown Heights	DATA:Unstructured	DOMAIN:Government	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:EMNLP																	
2020	Multi-modal Cooking Workflow Construction for Food Recipes	CITY:Singapore	DATA:Task-Centric	DOMAIN:Cooking	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:ACM Multimedia																	
2021	Modeling Worlds in Text	CITY:Atlanta	DATA:Symbolic	DOMAIN:Gaming	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:NEURIPS																	
2023	Mobile-Env: An Evaluation Platform and Benchmark for Interactive Agents in LLM Era	CITY:Shanghai	DATA:Symbolic	DOMAIN:Mobile	ENV:Mobile	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:CoRR																
2020	Missing Procedural Texts Repairing Based on Process Model and Activity Description Templates	CITY:Beijing	DATA:Task-Centric	LANGUAGE:	LANGUAGE:EN	LANGUAGE:ZH	TASK:Detecting and Correcting Implicit Statements	VENUE:IEEE Access																
2015	Mise en Place: Unsupervised Interpretation of Instructional Recipes	CITY:Seattle	DATA:Task-Centric	DOMAIN:Cooking	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:EMNLP																	
2023	Mind2Web: Towards a Generalist Agent for the Web	CITY:Columbus	DATA:Symbolic	DOMAIN:Web	ENV:Web	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:NEURIPS																
2022	MIAIS: A Multimedia Recipe Dataset with Ingredient Annotation at Each Instructional Step	CITY:Kyoto	DATA:Entity-Centric	DATA:Task-Centric	LANGUAGE:JA	TASK:Instruction Parsing	VENUE:International Workshop on Multimedia for Coo																	
2022	META-GUI: Towards Multi-modal Conversational Agents on Mobile GUI	CITY:Beijing	DATA:Symbolic	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:EMNLP																		
2018	MCScript: A Novel Dataset for Assessing Machine Comprehension Using Script Knowledge	CITY:Saarbrucken	DATA:Unstructured	DOMAIN:Everyday Activities	LANGUAGE:EN	TASK:Question Answering 	VENUE:LREC																	
2019	MCScript2.0: A Machine Comprehension Corpus Focused on Script Events and Participants	CITY:Saarbrucken	DATA:Unstructured	DOMAIN:Everyday Activities	LANGUAGE:EN	TASK:Question Answering 	VENUE:International Workshop on Semantic Evaluatio																	
2023	Mapping natural language procedures descriptions to linear temporal logic templates: an application in the surgical robotic domain	CITY:Verona	DATA:Symbolic	DOMAIN:Robotic	ENV:Robotics	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:Applied Intelligence																
2020	Mapping Natural Language Instructions to Mobile UI Action Sequences	CITY:Mountain View	DATA:Symbolic	DOMAIN:Mobile	ENV:Mobile	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ACL																
2018	Mapping Instructions to Actions in 3D Environments with Visual Goal Prediction	CITY: New York	DATA:Symbolic	DOMAIN:Navigation	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:EMNLP																
2023	Lexi: Self-Supervised Learning of the UI Language	CITY:Tempe	DATA:Symbolic	DOMAIN:Mobile	ENV:Mobile	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:EMNLP																
2022	LEMON: Language-Based Environment Manipulation via Execution-Guided Pre-training	CITY:Harbin	DATA:Entity-Centric	DATA:Symbolic	DOMAIN:Logical Reasoning	ENV:Other	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:EMNLP															
2013	Learning to Parse Natural Language Commands to a Robot Control System	CITY:Baltimore	DATA:Symbolic	DOMAIN:Robotic	ENV:Robotics	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ISER																
2023	Learning to Ground Instructional Articles in Videos through Narrations	CITY:Menlo Park	DATA:Unstructured	LANGUAGE:EN	TASK:Event Alignment	VENUE:ICCV																		
2010	Learning to Follow Navigational Directions	CITY:Stanford	DATA:Symbolic	DOMAIN:Navigation	DOMAIN:Navigration	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ACL															
2020	Learning to execute instructions in a Minecraft dialogue	CITY:Champaign	DATA:Symbolic	DOMAIN:Gaming	ENV:Game	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ACL																
2021	Learning to Decompose and Organize Complex Tasks	CITY:Philadelphia	DATA:Task-Centric	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:NAACL																		
2023	Learning Structural Representations for Recipe Generation and Food Retrieval	CITY:Seattle	DATA:Task-Centric	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:Transactions on Pattern Analysis and Machine																		
2010	Learning Script Knowledge with Web Experiments	CITY:Saarbrucken	DATA:Task-Centric	DOMAIN:Web	LANGUAGE:EN	TASK:Event Alignment	TASK:Instruction Parsing	VENUE:ACL																
2018	Learning Procedures from Text: Codifying How-to Procedures in Deep Neural Networks	CITY:West Lafayette	DATA:Task-Centric	DOMAIN:Everyday Activities	DOMAIN:Instruction Manual	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:The Web Conference																
2022	Learning Neuro-symbolic Programs for Language Guided Robot Manipulation	CITY:New Delhi	DATA:Symbolic	DOMAIN:Robotic	ENV:Robotics	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:International Conference on Robotics and Aut																
2021	Learning Language-Conditioned Robot Behavior from Offline Data and Crowd-Sourced Annotation	CITY:Stanford	DATA:Entity-Centric	DOMAIN:Robotic	ENV:Robotics	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:CoRL																
2019	Learning Household Task Knowledge from WikiHow Descriptions	CITY:Cambridge Massachusetts	DATA:Unstructured	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Question Answering 	VENUE:IJCAI																	
2022	Learning Action Conditions from Instructional Manuals for Instruction Understanding	CITY:Champaign	DATA:Task-Centric	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:ACL																		
2023	Language Models can Solve Computer Tasks	CITY:Irvine	DATA:Task-Centric	DOMAIN:Web	ENV:Web	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:NEURIPS																
2020	Knowledge-Aware Procedural Text Understanding with Multi-Stage Training	CITY:Beijing	DATA:Entity-Centric	DOMAIN:Scientific Procedures	LANGUAGE:EN	TASK:Entity Tracking	VENUE:The Web Conference																	
2024	KnowAgent: Knowledge-Augmented Planning for LLM-Based Agents	CITY:Singapore	DATA:Task-Centric	LANGUAGE:EN	TASK:Knowledge Acquisition	VENUE:Arxiv																		
2023	Interpreting User Requests in the Context of Natural Language Standing Instructions	CITY:Edinburgh	DATA:Symbolic	LANGUAGE:EN	TASK:Grounded Task-Oriented Dialogue	VENUE:NAACL																		
2023	InstructExcel: A Benchmark for Natural Language Instruction in Excel	CITY:Amherst	DATA:Symbolic	DOMAIN:Program Synthesis	ENV:Other	ENV:Program Synthesis	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:EMNLP															
2017	InScript: Narrative texts annotated with script information	CITY:Saarbrucken	DATA:Task-Centric	DOMAIN:Everyday Activities	LANGUAGE:EN	TASK:Procedural Generation	VENUE:LREC																	
2017	Inducing Script Structure from Crowdsourced Event Descriptions via Semi-Supervised Clustering	CITY:Saarbrucken	DATA:Task-Centric	DOMAIN:Everyday Activities	LANGUAGE:EN	TASK:Event Alignment	TASK:Instruction Parsing	VENUE:EACL																
2022	Incorporating Task-specific Concept Knowledge into Script Learning	CITY:Champaign	DATA:Unstructured	LANGUAGE:EN	TASK:Procedural Generation	VENUE:EACL																		
2021	Implicit Representations of Meaning in Neural Language Models	CITY:Cambridge Massachusetts	DATA:Entity-Centric	DATA:Symbolic	DOMAIN:Scientific Procedures	DOMAIN:Synthetic	LANGUAGE:EN	TASK:Entity Tracking	VENUE:ACL															
2018	Implicit Argument Prediction with Event Knowledge	CITY:Austin	DATA:Unstructured	DOMAIN:Synthetic	LANGUAGE:EN	TASK:Detecting and Correcting Implicit Statements	TASK:Entity Tracking	VENUE:NAACL																
2021	Identify, Align, and Integrate: Matching Knowledge Graphs to Commonsense Reasoning Tasks	CITY:Chapel Hill	DATA:Symbolic	LANGUAGE:EN	TASK:Question Answering 	VENUE:EACL																		
2021	HowSumm: A Multi-Document Summarization Dataset Derived from WikiHow Articles	CITY:Yorktown Heights	DATA:Unstructured	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Summarization	VENUE:Arxiv																	
2019	Hierarchical Decision Making by Generating and Following Natural Language Instructions	CITY:Menlo Park	DATA:Symbolic	DOMAIN:Gaming	ENV:Game	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:NEURIPS																
2021	Hierarchical Control of Situated Agents through Natural Language	CITY:Pittsburgh	DATA:Symbolic	DOMAIN:Navigation	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:SUKI																
2019	HellaSwag: Can a Machine Really Finish Your Sentence?	CITY:Seattle	DATA:Unstructured	DOMAIN:Everyday Activities	DOMAIN:WikiHow	LANGUAGE:EN	TASK:Question Answering 	VENUE:ACL																
2021	Grounding Open-Domain Instructions to Automate Web Support Tasks	CITY:Stanford	DATA:Symbolic	DOMAIN:Web	ENV:Web	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:NAACL																
2021	Goal-Oriented Script Construction	CITY:Philadelphia	DATA:Unstructured	DOMAIN:WikiHow	LANGUAGE:AR	LANGUAGE:CS	LANGUAGE:DE	LANGUAGE:EN	LANGUAGE:ES	LANGUAGE:FR	LANGUAGE:HI	LANGUAGE:ID	LANGUAGE:IT	LANGUAGE:JA	LANGUAGE:KO	LANGUAGE:NL	LANGUAGE:PT	LANGUAGE:RU	LANGUAGE:TH	LANGUAGE:TR	LANGUAGE:VI	LANGUAGE:ZH	TASK:Procedural Generation	VENUE:ICNLG
2016	Globally Coherent Text Generation with Neural Checklist Models	CITY:Seattle	DATA:Unstructured	DOMAIN:Instruction Manual	LANGUAGE:EN	TASK:Procedural Generation	VENUE:EMNLP																	
2020	From “Before” to “After”: Generating Natural Language Instructions from Image Pairs in a Simple Visual Domain	CITY:Potsdam	DATA:Unstructured	DOMAIN:Gaming	LANGUAGE:EN	TASK:Procedural Generation	VENUE:ICNLG																	
2020	From Natural Language Instructions to Complex Processes: Issues in Chaining Trigger Action Rules	CITY:Tokyo	DATA:Symbolic	DOMAIN:Business	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:Arxiv																	
2020	FLIN: A Flexible Natural Language Interface for Web Navigation	CITY:Chicago	DATA:Symbolic	DOMAIN:Web	ENV:Web	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:NAACL																
2022	Finding Sub-task Structure with Natural Language Instruction	CITY:Tokyo	DATA:Task-Centric	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:ACL																		
2024	FAVOR: Full-Body AR-Driven Virtual Object Rearrangement Guided by Instruction Text	CITY:Shanghai	DATA:Symbolic	DOMAIN:Household	ENV:Augmented Reality	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:AAAI																
2024	Extractive Summarization with Text Generator	CITY:Hanoi	DATA:Unstructured	LANGUAGE:EN	TASK:Summarization	VENUE:ACL																		
2018	Extracting Action Sequences from Texts Based on Deep Reinforcement Learning	CITY:Guangzhou	DATA:Task-Centric	DOMAIN:Everyday Activities	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:IJCAI																	
2019	Everything Happens for a Reason: Discovering the Purpose of Actions in Procedural Text	CITY:Seattle	DATA:Entity-Centric	DOMAIN:Natural Processes	LANGUAGE:EN	TASK:Entity Tracking	VENUE:EMNLP																	
2023	Event Semantic Knowledge in Procedural Text Understanding	CITY:Boulder	DATA:Entity-Centric	LANGUAGE:EN	TASK:Entity Tracking	VENUE:*SEM																		
2017	Evaluation of Stanford NER for Extraction of Assembly Information from Instruction Manuals	CITY:Porto	DATA:Entity-Centric	DOMAIN:Technical Manual	LANGUAGE:EN	TASK:Instruction Parsing	VENUE:International Conference on Autonomous Robot																	
2015	Environment-Driven Lexicon Induction for High-Level Instructions	CITY:Ithaca	DATA:Symbolic	DOMAIN:Household	ENV:Navigation	LANGUAGE:EN	TASK:Grounded Task Execution	VENUE:ACL																
2023	Entity Tracking in Language Models	CITY:Boston	DATA:Entity-Centric	LANGUAGE:EN	TASK:Entity Tracking	VENUE:ACL																		
